Configuration;Timestamp;LocationProtocol;LocationHostname;LocationPathname;CookieDomain;CookieName;CookieValue;CookieParty;CookiePartyCategory
test;1438002405705;http;www.wtf.nl;"/";.krxd.net;"_kuid_";"J9YJy4hX";Krux;interests
test;1438002405705;http;www.wtf.nl;"/";.krxd.net;"ServedBy";"beacon-a119";Krux;interests
test;1438002405705;http;www.wtf.nl;"/";bam.nr-data.net;"JSESSIONID";"951d4a61b9681cee";New Relic;ads
test;1438002405705;http;www.wtf.nl;"/";.xiti.com;"idrxvr";"A4CA7758-5F3A-4E69-8C0B-2F4568620B07";AT Internet;stats
test;1438002405705;http;www.wtf.nl;"/";www.wtf.nl;"consentBarViewCount";"1";Sanoma Consent Manager;functional
test;1438002405705;http;www.wtf.nl;"/";www.wtf.nl;"_chartbeat2";"B4cR2CCox46wB5hgN-.1435759158718.1438002407756.0000000000000001";Chartbeat;stats
test;1438002405705;http;www.wtf.nl;"/";www.wtf.nl;"_cb_ls";"1";Site-own;
test;1438002405705;http;www.wtf.nl;"/";.adform.net;"uid";"8498542694208328931";Adform;ads
test;1438002405705;http;www.wtf.nl;"/";track.adform.net;"cid";"8498542694208328931,0,0,0,0";Adform;ads
test;1438002405705;http;www.wtf.nl;"/";.rubiconproject.com;"khaos";"ICLXI6VB-18-INIK";Rubicon;ads
test;1438002405705;http;www.wtf.nl;"/";.pixel.rubiconproject.com;"rpx";"7751%3D48797%2C0%2C1%2C%2C";Rubicon;ads
test;1438002405705;http;www.wtf.nl;"/";.rubiconproject.com;"put_2249";"CAESEOuenXmimNIwDsyxpooTKhM";Rubicon;ads
test;1438002405705;http;www.wtf.nl;"/";.rubiconproject.com;"rpb";"7751%3D1";Rubicon;ads
test;1438002405705;http;www.wtf.nl;"/";pixel.rubiconproject.com;"c";"1";Rubicon;ads
test;1438002405705;http;www.wtf.nl;"/";ad.360yield.com;"umeh";"!37,0,269453207,-1!42,0,269453207,-1!79,0,269453207,-1!5,0,269453206,-1!55,0,269453206,-1";Improve Digital;ads
test;1438002405705;http;www.wtf.nl;"/";ad.360yield.com;"um";"!37,2zUrLf7r6ZAKLlHR1xZ18rNkIaYJuD4h6JkMXdI.I0tYIa-fV0p1AbFg-D8-NAKfzFc#,1501074407!42,00mhfy.y8tF0c5GvvKCdVeakd7xAB03moD1okLxx58GAZqixrDFwG2KjLWVAIRA#,1501074407!79,ZU9XoAVOqNzIMMdkRQa.dSe0q3tnjI7VPgkIpyxea0xFNYgbS1TqtCF84Hs6VCUtffA#,1501074407!5,O1a6EEXfCkCCHGjPV.uY9R6q3vbsvLBNBkOIZBo.RZkjxGsWWmhCqYcWzDXFDszfdXc#,1501074406!55,fYqef7vHgFVxYJLukjKRIKBIbz2NAxueaSEr.gPfey1n.GqVKEJYwIM#,1501074406";Improve Digital;ads
test;1438002405705;http;www.wtf.nl;"/";ad.360yield.com;"tuuid";"ea9144dc-a575-4e83-9595-a22a924e91f8";Improve Digital;ads
test;1438002405705;http;www.wtf.nl;"/";ads.creative-serving.com;"tuuid";"f4c93c56-ec59-491a-9b84-648cebbd377a";Platform 161;ads
test;1438002405705;http;www.wtf.nl;"/";.254a.com;"tuuid";"dce04f87-ef68-420f-a861-a8b03f30906a";Yieldr;ads
test;1438002405705;http;www.wtf.nl;"/";ads.tradefx.com;"AVPUID";"c9531f1e4996cc07067b8738025325e1";;
test;1438002405705;http;www.wtf.nl;"/";ad.360yield.com;"lcai9h";"!13207,1,207245207!70139,1,207245207!8714,3,207245206";Improve Digital;ads
test;1438002405705;http;www.wtf.nl;"/";ad.360yield.com;"lcri5m";"!0,1,207245207!323255,1,207245207!57330,2,207245206!57316,1,207245205";Improve Digital;ads
test;1438002405705;http;www.wtf.nl;"/";ad.360yield.com;"fh";"!73_35567,1!73_24364,3";Improve Digital;ads
test;1438002405705;http;www.wtf.nl;"/";ad.360yield.com;"is";"!0,1,1,207245207!57330,2,2,207245206!57316,1,1,207245205";Improve Digital;ads
test;1438002405705;http;www.wtf.nl;"/";.adsby.bidtheatre.com;"__kuid";"70c81820-0c64-44b2-951e-5dce591832dc.207216407";BidTheatre;ads
test;1438002405705;http;www.wtf.nl;"/";track.adform.net;"C";"1";Adform;ads
test;1438002405705;http;www.wtf.nl;"/";.turn.com;"uid";"4287896902935074482";Turn Inc.;ads
test;1438002405705;http;www.wtf.nl;"/";.adnxs.com;"uuid2";"1556709443401401023";AppNexus;ads
test;1438002405705;http;www.wtf.nl;"/";.adnxs.com;"sess";"1";AppNexus;ads
test;1438002405705;http;www.wtf.nl;"/";.mathtag.com;"mt_mop";"16:1438002406";MediaMath;ads
test;1438002405705;http;www.wtf.nl;"/";.s372.meetrics.net;"id";"43E26F7E-8331-E0EF-E61A-1F7F04DC0F8B";Meetrics;stats
test;1438002405705;http;www.wtf.nl;"/";.wtf.nl;"__gads";"ID=0396a87030576ba6:T=1438002406:S=ALNI_MYLXw-_TNRkvM2Bnal-hNcFOuZkVw";Google Adsense;ads
test;1438002405705;http;www.wtf.nl;"/";.doubleclick.net;"id";"227eea3a130200bd||t=1438002406|et=730|cs=002213fd482e65e35e2db2b705";DoubleClick;ads
