Configuration;Timestamp;LocationProtocol;LocationHostname;LocationPathname;ResourceID;ResourceContentType;ResourceURL;ResourceHost;ResourcePath;ResourceRequested;ResourceCompleted;ResourceFailed
test;1438002405705;http;www.wtf.nl;"/";156;"text/javascript";"https://securepubads.g.doubleclick.net/gampad/ads?gdfp_req=1&correlator=1044010617536512&output=json_html&callback=callbackProxy&impl=fif&eid=108809080%2C108809047%2C108809050&sc=0&sfv=1-0-2&iu=%2F4442%2FP4442.WTF.nl%2Fhome&sz=320x240%7C320x100%7C320x50%7C300x250&scp=tt%3D1500%26gr%3D15%26rg%3D2%26nk%3D0%26mscom%3Dloralneder%252Cbiohormabe%252Cmeeticlexa%252Coetkerbv%252Cabnamro%252Ctrivagogmb%252Croyaan%252Cbrilmijgro%252Cunileverle%252Cblablacar%26mspro%3Dachtergeslotendeuren%252Cmasterchefnieuw-zeeland%26u%3Dprz6fgeuk%26ksgmnt%3Dmqx65qehh%252Cmqx7bc2sw%26position%3Dmobilebottom%26VMspot%3D4346059_7570613&cookie=ID%3D0396a87030576ba6%3AT%3D1438002406%3AS%3DALNI_MYLXw-_TNRkvM2Bnal-hNcFOuZkVw&cookie_enabled=1&lmt=1437995206&dt=1438002406894&cc=100&frm=20&biw=640&bih=1136&oid=3&adx=0&ady=0&adk=2740928855&gut=v2&ifi=3&u_tz=120&u_his=1&u_h=1080&u_w=1920&u_ah=1080&u_aw=1920&u_cd=32&u_sd=1&flash=0&url=http%3A%2F%2Fwww.wtf.nl%2F&dssz=65&icsg=587210767&vrg=68&vrp=68&ga_vid=1730329652.1438002406&ga_sid=1438002406&ga_hid=1260635729";securepubads.g.doubleclick.net;"/gampad/ads";1194;1362;0
test;1438002405705;http;www.wtf.nl;"/";157;"undefined";"http://nl-sanoma.videoplaza.tv/proxy/tracker/v2";nl-sanoma.videoplaza.tv;"/proxy/tracker/v2";1288;1351;0
test;1438002405705;http;www.wtf.nl;"/";158;"image/gif";"http://ad.360yield.com/match?publisher_dsp_id=55&external_user_id=CAESEL7SpI0Bw4JbGm4d2auIXro&google_cver=1";ad.360yield.com;"/match";1296;1329;0
test;1438002405705;http;www.wtf.nl;"/";159;"image/gif";"http://ad.360yield.com/match?external_user_id=1556709443401401023&publisher_dsp_id=40";ad.360yield.com;"/match";1308;1338;0
test;1438002405705;http;www.wtf.nl;"/";160;"image/gif";"http://ad.360yield.com/match?publisher_dsp_id=4&external_user_id=4287896902935074482";ad.360yield.com;"/match";1308;1351;0
test;1438002405705;http;www.wtf.nl;"/";161;"image/gif";"http://ad.360yield.com/match?publisher_dsp_id=79&external_user_id=f4c93c56-ec59-491a-9b84-648cebbd377a";ad.360yield.com;"/match";1309;1364;0
test;1438002405705;http;www.wtf.nl;"/";162;"image/gif";"http://ad.360yield.com/match?publisher_dsp_id=5&external_user_id=2e8055b6-2ce6-4100-9655-cc3789b30966";ad.360yield.com;"/match";1309;1362;0
test;1438002405705;http;www.wtf.nl;"/";163;"text/javascript";"http://s372.meetrics.net/bb-mx/prime/mtrcs_990688.js?pjid=990688&cpid=120041720&site=24129440&place=24235400&adc=204470480&cid=80442443240&node=VMspot_4346059_7570613";s372.meetrics.net;"/bb-mx/prime/mtrcs_990688.js";1363;1382;0
test;1438002405705;http;www.wtf.nl;"/";164;"text/javascript";"http://ad.360yield.com/adj?p=526533&w=300&h=250&optin=&tz=-120&click3rd=uprz6fgeuk&kw=mqx65qehh,mqx7bc2sw&vmspot=4346059_7570613";ad.360yield.com;"/adj";1363;1462;0
test;1438002405705;http;www.wtf.nl;"/";165;"text/css";"https://fbstatic-a.akamaihd.net/rsrc.php/v2/yp/r/a9pa_848KOD.css";fbstatic-a.akamaihd.net;"/rsrc.php/v2/yp/r/a9pa_848KOD.css";1400;1448;0
test;1438002405705;http;www.wtf.nl;"/";166;"text/css";"https://fbstatic-a.akamaihd.net/rsrc.php/v2/yN/r/1RNiB19ko1_.css";fbstatic-a.akamaihd.net;"/rsrc.php/v2/yN/r/1RNiB19ko1_.css";1401;1454;0
test;1438002405705;http;www.wtf.nl;"/";167;"application/x-javascript";"https://fbstatic-a.akamaihd.net/rsrc.php/v2/yO/r/RaST_EoW68B.js";fbstatic-a.akamaihd.net;"/rsrc.php/v2/yO/r/RaST_EoW68B.js";1401;1474;0
test;1438002405705;http;www.wtf.nl;"/";168;"application/x-javascript";"https://fbstatic-a.akamaihd.net/rsrc.php/v2/y8/r/gEFOxJcpI1h.js";fbstatic-a.akamaihd.net;"/rsrc.php/v2/y8/r/gEFOxJcpI1h.js";1401;1473;0
test;1438002405705;http;www.wtf.nl;"/";169;"application/x-javascript";"https://fbstatic-a.akamaihd.net/rsrc.php/v2/yW/r/duSj-6h1f8H.js";fbstatic-a.akamaihd.net;"/rsrc.php/v2/yW/r/duSj-6h1f8H.js";1401;1473;0
test;1438002405705;http;www.wtf.nl;"/";170;"application/x-javascript";"https://fbstatic-a.akamaihd.net/rsrc.php/v2/yl/r/5DiivXSlL5g.js";fbstatic-a.akamaihd.net;"/rsrc.php/v2/yl/r/5DiivXSlL5g.js";1402;1466;0
test;1438002405705;http;www.wtf.nl;"/";171;"image/gif";"http://sat.sanoma.fi/sat/sat.gif?log=1&evt=con&cid=&c_ver=2015.03.20.10.15.00%2036b6ded700f&c_events=0&c_session=66902tdwy5&c_id=9meayua1j8&c_scroll=0x0&eid=prz6fgeuk&sit=wft-nl-wtf&cha=web&cat=home&c_vmspot=4346059_22977578&c_screen=1920x1080&c_viewport=640x1136&c_referrer=&c_currenturl=http%3A%2F%2Fwww.wtf.nl%2F&c_hash=&rid=1438002406129&cb=1438002407132&ctz=120";sat.sanoma.fi;"/sat/sat.gif";1429;1473;0
test;1438002405705;http;www.wtf.nl;"/";172;"text/html";"https://ads.tradefx.com/servlet/view/banner/javascript/html/zone?zid=25413&pid=20363&random=[random]&timestamp=44d5e7fa-0977-4fe2-96e2-6fb41ef01e0f&encode=1&cturl=http://ad.360yield.com/click/gS05uOr.f2frQ4viq2un7g2kcxLY2bPh6K8JSxXjP3Gq7z5DUicjGsRS1wYeQSyKB8zwhg0Lc0qlnySYvvxQQOGZOkduZeCyJv6PrecmG.A6BLSt1oecBSJv5l3c36cvFTwpHuQvkqMN267l4wHyVyTbiEK1igQKbeDnlAFXAdJGflucDBZ2C7kSBnn8kbi5WdvC0p-bn1nlvehtTYGAEQ1m-2Rv2-JxcM34i4ODMgEllg0xhekeX5lDIQ4F5lCj-AWSY52GafrwTPTeUoxuQSJgmIoeu5D9h0Y6aqaNfYG6SjF4dJ57LnJs6zw-pZ41Tn03A3u4brtpAIEUzxE2nYD12cv2rhueqMaY14awizOqTMhvp8APQnlcxKOS9LsPqNPyG4mgdR5KMA.c//";ads.tradefx.com;"/servlet/view/banner/javascript/html/zone";1463;1574;0
test;1438002405705;http;www.wtf.nl;"/";176;"text/html";"http://r.254a.com/id_match?publisher_user_id=ea9144dc-a575-4e83-9595-a22a924e91f8&publisher_dsp_id=37&publisher_call_type=redirect&publisher_redirecturl=http://ad.360yield.com/match";r.254a.com;"/id_match";1465;1558;0
test;1438002405705;http;www.wtf.nl;"/";178;"image/jpeg";"https://scontent.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/s350x350/10436270_632774320164094_301747550964743360_n.jpg?oh=063a0d24243ff64a96f8a9636889dcf8&oe=565158E9";scontent.xx.fbcdn.net;"/hphotos-xap1/v/t1.0-9/s350x350/10436270_632774320164094_301747550964743360_n.jpg";1511;1623;0
test;1438002405705;http;www.wtf.nl;"/";179;"image/jpeg";"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpt1/v/t1.0-1/p50x50/10580019_1455938418025213_2075013764441366342_n.jpg?oh=04c8c3d928bb49f0c5e4a041450daa43&oe=5641107C&__gda__=1447795122_883faee89d3185a289e43ba870c2ff8d";fbcdn-profile-a.akamaihd.net;"/hprofile-ak-xpt1/v/t1.0-1/p50x50/10580019_1455938418025213_2075013764441366342_n.jpg";1513;1578;0
test;1438002405705;http;www.wtf.nl;"/";180;"image/jpeg";"https://scontent.xx.fbcdn.net/hprofile-xap1/v/l/t1.0-1/c10.0.50.50/p50x50/994354_479396308835230_524772313_n.jpg?oh=8444ebf25cfc8cfa52b4ef462567badb&oe=560F1A96";scontent.xx.fbcdn.net;"/hprofile-xap1/v/l/t1.0-1/c10.0.50.50/p50x50/994354_479396308835230_524772313_n.jpg";1551;1637;0
