Configuration;Timestamp;LocationProtocol;LocationHostname;LocationPathname;CookieDomain;CookieName;CookieValue;CookieParty;CookiePartyCategory
deeplinks;1449670031612;http;www.nu.nl;"/regio";.xiti.com;"idrxvr";"3A292779-6C9A-4107-8E11-B035ACA1B60B";AT Internet;stats
deeplinks;1449670031612;http;www.nu.nl;"/regio";bam.nr-data.net;"JSESSIONID";"bfaf80f023d98e98";New Relic;ads
deeplinks;1449670031612;http;www.nu.nl;"/regio";www.nu.nl;"consentBarViewCount";"1";Sanoma Consent Manager;functional
deeplinks;1449670031612;http;www.nu.nl;"/regio";.nu.nl;"SanomaWeb";"u6qbk2nks6";Site-own;functional
deeplinks;1449670031612;http;www.nu.nl;"/regio";.nu.nl;"SanomaWebSession";"leew6kc7tl";Site-own;functional
deeplinks;1449670031612;http;www.nu.nl;"/regio";.scorecardresearch.com;"UIDR";"1449670031";ScoreCard Research;stats
deeplinks;1449670031612;http;www.nu.nl;"/regio";.scorecardresearch.com;"UID";"1A423a14a90a11122a57f6f1449670031";ScoreCard Research;stats
deeplinks;1449670031612;http;www.nu.nl;"/regio";.sanoma.fi;"SanomaWeb";"92716fb0-bc8c-4fc3-b337-0cc87b9caa92";Site-own;functional
deeplinks;1449670031612;http;www.nu.nl;"/regio";.www.nu.nl;"_gat";"1";Google Analytics;stats
deeplinks;1449670031612;http;www.nu.nl;"/regio";.www.nu.nl;"_ga";"GA1.3.1955450242.1449670032";Google Analytics;stats
deeplinks;1449670037307;http;www.nu.nl;"/videos";bam.nr-data.net;"JSESSIONID";"25736b85065c8bd3";New Relic;ads
deeplinks;1449670037307;http;www.nu.nl;"/videos";.xiti.com;"idrxvr";"29E1C5A8-338C-490A-AB7C-AD24B53C1721";AT Internet;stats
deeplinks;1449670037307;http;www.nu.nl;"/videos";www.nu.nl;"consentBarViewCount";"1";Sanoma Consent Manager;functional
deeplinks;1449670037307;http;www.nu.nl;"/videos";.nu.nl;"SanomaWeb";"8xj4bp51ln";Site-own;functional
deeplinks;1449670037307;http;www.nu.nl;"/videos";.nu.nl;"SanomaWebSession";"wk9s45xq18";Site-own;functional
deeplinks;1449670037307;http;www.nu.nl;"/videos";.scorecardresearch.com;"UIDR";"1449670037";ScoreCard Research;stats
deeplinks;1449670037307;http;www.nu.nl;"/videos";.scorecardresearch.com;"UID";"19723a14a90a11122a596351449670037";ScoreCard Research;stats
deeplinks;1449670037307;http;www.nu.nl;"/videos";.sanoma.fi;"SanomaWeb";"c17778c3-5057-4fab-87d2-14e602ad9a78";Site-own;functional
deeplinks;1449670037307;http;www.nu.nl;"/videos";.www.nu.nl;"_gat";"1";Google Analytics;stats
deeplinks;1449670037307;http;www.nu.nl;"/videos";.www.nu.nl;"_ga";"GA1.3.1721290273.1449670037";Google Analytics;stats
deeplinks;1449670042830;http;www.nu.nl;"/auto";bam.nr-data.net;"JSESSIONID";"3fcb3e52cbf8b2b4";New Relic;ads
deeplinks;1449670042830;http;www.nu.nl;"/auto";.xiti.com;"idrxvr";"5404D97B-3718-4983-A569-E446996620C8";AT Internet;stats
deeplinks;1449670042830;http;www.nu.nl;"/auto";www.nu.nl;"consentBarViewCount";"1";Sanoma Consent Manager;functional
deeplinks;1449670042830;http;www.nu.nl;"/auto";.scorecardresearch.com;"UIDR";"1449670043";ScoreCard Research;stats
