Configuration;Timestamp;LocationProtocol;LocationHostname;LocationPathname;ResourceID;ResourceContentType;ResourceURL;ResourceHost;ResourcePath;ResourceParty;ResourceRequested;ResourceCompleted;ResourceFailed
deeplinks;1449670007666;http;www.nu.nl;"/";1;"text/html";"http://www.nu.nl/";www.nu.nl;"/";;0;46;0
deeplinks;1449670007666;http;www.nu.nl;"/";2;"text/css";"http://www.nu.nl/static/CACHE/css/8b1c3e190229.css";www.nu.nl;"/static/CACHE/css/8b1c3e190229.css";;39;60;0
deeplinks;1449670007666;http;www.nu.nl;"/";3;"application/javascript";"http://www.nu.nl/static/js/advertising.js";www.nu.nl;"/static/js/advertising.js";;39;53;0
deeplinks;1449670007666;http;www.nu.nl;"/";4;"application/javascript";"http://www.nu.nl/static/CACHE/js/6d1ed54ce192.js";www.nu.nl;"/static/CACHE/js/6d1ed54ce192.js";;39;97;0
deeplinks;1449670007666;http;www.nu.nl;"/";5;"text/javascript";"http://cts.snmmd.nl/service/js/nunl/home/";cts.snmmd.nl;"/service/js/nunl/home/";;40;131;0
deeplinks;1449670007666;http;www.nu.nl;"/";6;"application/javascript";"http://www.nu.nl/static/js/organisms/ntv.advertorial.js";www.nu.nl;"/static/js/organisms/ntv.advertorial.js";;40;55;0
deeplinks;1449670007666;http;www.nu.nl;"/";7;"application/javascript";"http://www.nu.nl/static/CACHE/js/7429d9503e00.js";www.nu.nl;"/static/CACHE/js/7429d9503e00.js";;44;135;0
deeplinks;1449670007666;http;www.nu.nl;"/";8;"application/javascript";"http://www.nu.nl/static/CACHE/js/cbbb7a1c983a.js";www.nu.nl;"/static/CACHE/js/cbbb7a1c983a.js";;45;135;0
deeplinks;1449670007666;http;www.nu.nl;"/";9;"application/javascript";"http://www.nu.nl/static/CACHE/js/51424ebeacf5.js";www.nu.nl;"/static/CACHE/js/51424ebeacf5.js";;45;96;0
deeplinks;1449670007666;http;www.nu.nl;"/";10;"text/javascript";"http://privacy.nu.nl/script/consent.js";privacy.nu.nl;"/script/consent.js";Consent manager;134;156;0
deeplinks;1449670007666;http;www.nu.nl;"/";11;"text/html";"http://rc.bt.ilsemedia.nl/Get/ilsemedia/JS/GetRcmd.js?ord=1449670007823";rc.bt.ilsemedia.nl;"/Get/ilsemedia/JS/GetRcmd.js";;157;180;0
deeplinks;1449670007666;http;www.nu.nl;"/";12;"application/javascript";"http://sat.sanoma.fi/js/sat.js";sat.sanoma.fi;"/js/sat.js";;181;354;0
deeplinks;1449670007666;http;www.nu.nl;"/";13;"text/javascript";"http://www.google-analytics.com/analytics.js";www.google-analytics.com;"/analytics.js";;182;347;0
deeplinks;1449670007666;http;www.nu.nl;"/";14;"image/svg+xml";"http://www.nu.nl/static/img/atoms/images/logos/logo-sprite.svg";www.nu.nl;"/static/img/atoms/images/logos/logo-sprite.svg";;184;348;0
deeplinks;1449670007666;http;www.nu.nl;"/";15;"image/jpeg";"http://media.nu.nl/m/m1oxrcxawpoj_sqr64.jpg";media.nu.nl;"/m/m1oxrcxawpoj_sqr64.jpg";;246;355;0
deeplinks;1449670007666;http;www.nu.nl;"/";17;"image/jpeg";"http://media.nu.nl/m/xf2xowba8yaz_sqr64.jpg";media.nu.nl;"/m/xf2xowba8yaz_sqr64.jpg";;276;356;0
deeplinks;1449670007666;http;www.nu.nl;"/";18;"image/jpeg";"http://media.nu.nl/m/erkxpctae848_sqr64.jpg";media.nu.nl;"/m/erkxpctae848_sqr64.jpg";;276;361;0
deeplinks;1449670007666;http;www.nu.nl;"/";19;"image/jpeg";"http://media.nu.nl/m/m1oxdacabagt_sqr64.jpg";media.nu.nl;"/m/m1oxdacabagt_sqr64.jpg";;277;362;0
deeplinks;1449670007666;http;www.nu.nl;"/";20;"image/jpeg";"http://media.nu.nl/m/m1oxfnia25hh_wd320.jpg";media.nu.nl;"/m/m1oxfnia25hh_wd320.jpg";;277;363;0
deeplinks;1449670007666;http;www.nu.nl;"/";21;"image/jpeg";"http://media.nu.nl/m/htpx6p7a0bof_std160.jpg";media.nu.nl;"/m/htpx6p7a0bof_std160.jpg";;277;364;0
deeplinks;1449670007666;http;www.nu.nl;"/";22;"image/png";"http://www.nu.nl/static/img/molecules/components/dotted_v.png?349fde8a5905";www.nu.nl;"/static/img/molecules/components/dotted_v.png";;278;357;0
deeplinks;1449670007666;http;www.nu.nl;"/";23;"image/png";"http://www.nu.nl/static/img/placeholders/230x240-o.png";www.nu.nl;"/static/img/placeholders/230x240-o.png";;278;357;0
deeplinks;1449670007666;http;www.nu.nl;"/";24;"image/png";"http://www.nu.nl/static/img/placeholders/sqr256-o.png";www.nu.nl;"/static/img/placeholders/sqr256-o.png";;279;359;0
deeplinks;1449670007666;http;www.nu.nl;"/";25;"image/png";"http://www.nu.nl/static/img/placeholders/std320-o.png";www.nu.nl;"/static/img/placeholders/std320-o.png";;279;358;0
deeplinks;1449670007666;http;www.nu.nl;"/";26;"image/png";"http://www.nu.nl/static/img/placeholders/wd640-o.png";www.nu.nl;"/static/img/placeholders/wd640-o.png";;279;360;0
deeplinks;1449670007666;http;www.nu.nl;"/";27;"image/png";"http://www.nu.nl/static/img/atoms/images/logos/nubranded_32.png?5e3b9eb052ee";www.nu.nl;"/static/img/atoms/images/logos/nubranded_32.png";;279;360;0
deeplinks;1449670007666;http;www.nu.nl;"/";28;"image/png";"http://www.nu.nl/static/img/atoms/forms/shared/inputbg.png?1fbd14092970";www.nu.nl;"/static/img/atoms/forms/shared/inputbg.png";;280;363;0
deeplinks;1449670007666;http;www.nu.nl;"/";29;"image/gif";"http://b.scorecardresearch.com/p2?c1=2&c2=6035634&c4=http://www.nu.nl/&ns__t=1449670007941&ns_c=UTF-8&c8=NU%20-%20Het%20laatste%20nieuws%20het%20eerst%20op%20NU.nl&c7=http%3A%2F%2Fwww.nu.nl%2F&c9=";b.scorecardresearch.com;"/p2";;364;392;0
deeplinks;1449670007666;http;www.nu.nl;"/";30;"image/svg+xml";"http://www.nu.nl/static/vendor/fontcustom/fonts/nunl_1077598ee2fd6b2c595b96bce226c2fc.svg?f1c0e2bda699#nunl";www.nu.nl;"/static/vendor/fontcustom/fonts/nunl_1077598ee2fd6b2c595b96bce226c2fc.svg";;365;398;0
deeplinks;1449670007666;http;www.nu.nl;"/";31;"application/octet-stream";"http://www.nu.nl/static/vendor/fontcustom/fonts/nunl_1077598ee2fd6b2c595b96bce226c2fc.ttf?fa340be26897";www.nu.nl;"/static/vendor/fontcustom/fonts/nunl_1077598ee2fd6b2c595b96bce226c2fc.ttf";;365;400;0
deeplinks;1449670007666;http;www.nu.nl;"/";32;"application/octet-stream";"http://www.nu.nl/static/vendor/fontawesome/fonts/fontawesome-webfont.ttf?v=4.3.0&706450d7bba6";www.nu.nl;"/static/vendor/fontawesome/fonts/fontawesome-webfont.ttf";;366;694;0
deeplinks;1449670007666;http;www.nu.nl;"/";33;"image/gif";"http://www.google-analytics.com/r/collect?v=1&_v=j40&a=1889068516&t=pageview&_s=1&dl=http%3A%2F%2Fwww.nu.nl%2F&ul=en-us&de=UTF-8&dt=NU%20-%20Het%20laatste%20nieuws%20het%20eerst%20op%20NU.nl&sd=32-bit&sr=1024x768&vp=1280x1024&je=0&_u=QEAAAAQAI~&jid=1832733141&cid=2094490855.1449670008&tid=UA-10557259-1&_r=1&cd1=3-kolom&cd2=&z=1868525371";www.google-analytics.com;"/r/collect";;383;426;0
deeplinks;1449670007666;http;www.nu.nl;"/";34;"application/json";"http://www.nu.nl/api/playlists/slug/recommended?order_by=random";www.nu.nl;"/api/playlists/slug/recommended";;469;699;0
deeplinks;1449670007666;http;www.nu.nl;"/";35;"image/jpeg";"http://media.nu.nl/m/m1oxo4fabte8_std640.jpg/deal-teeven-met-cees-h-had-niet-gesloten-mogen-worden.jpg";media.nu.nl;"/m/m1oxo4fabte8_std640.jpg/deal-teeven-met-cees-h-had-niet-gesloten-mogen-worden.jpg";;607;703;0
deeplinks;1449670007666;http;www.nu.nl;"/";36;"image/jpeg";"http://media.nu.nl/m/m1oxq5xam9f3_std320.jpg";media.nu.nl;"/m/m1oxq5xam9f3_std320.jpg";;695;765;0
deeplinks;1449670007666;http;www.nu.nl;"/";37;"image/jpeg";"http://media.nu.nl/m/xo1xa17a7e7e_std320.jpg";media.nu.nl;"/m/xo1xa17a7e7e_std320.jpg";;695;765;0
deeplinks;1449670007666;http;www.nu.nl;"/";38;"image/jpeg";"http://media.nu.nl/m/xs2xjcyaesxf_wd640.jpg/kerstshow-met-honderden-sardientjes";media.nu.nl;"/m/xs2xjcyaesxf_wd640.jpg/kerstshow-met-honderden-sardientjes";;696;774;0
deeplinks;1449670007666;http;www.nu.nl;"/";39;"image/jpeg";"http://media.nu.nl/m/kg0x8csa62xe_wd640.jpg/het-belangrijkste-ochtendnieuws-in-een-minuut";media.nu.nl;"/m/kg0x8csa62xe_wd640.jpg/het-belangrijkste-ochtendnieuws-in-een-minuut";;696;771;0
deeplinks;1449670007666;http;www.nu.nl;"/";40;"image/jpeg";"http://media.nu.nl/m/mb1xl9pa7dsu_wd640.jpg/trump-verdedigt-weren-moslims-uit-vs";media.nu.nl;"/m/mb1xl9pa7dsu_wd640.jpg/trump-verdedigt-weren-moslims-uit-vs";;696;769;0
deeplinks;1449670007666;http;www.nu.nl;"/";41;"image/jpeg";"http://media.nu.nl/m/9czxknhaku2j_wd640.jpg/hoe-roller-coaster-tycoon-in-het-echt-zou-zijn";media.nu.nl;"/m/9czxknhaku2j_wd640.jpg/hoe-roller-coaster-tycoon-in-het-echt-zou-zijn";;696;776;0
deeplinks;1449670007666;http;www.nu.nl;"/";42;"image/jpeg";"http://media.nu.nl/m/jf6x2w9au3ws_wd640.jpg/fans-stars-wars-nu-al-in-de-rij-voor-film";media.nu.nl;"/m/jf6x2w9au3ws_wd640.jpg/fans-stars-wars-nu-al-in-de-rij-voor-film";;697;766;0
deeplinks;1449670007666;http;www.nu.nl;"/";43;"image/jpeg";"http://media.nu.nl/m/2ngxe2yay6mt_wd640.jpg/russische-onderzeeer-lanceert-kruisraketten-tegen-is";media.nu.nl;"/m/2ngxe2yay6mt_wd640.jpg/russische-onderzeeer-lanceert-kruisraketten-tegen-is";;697;768;0
deeplinks;1449670007666;http;www.nu.nl;"/";44;"image/jpeg";"http://media.nu.nl/m/xsyxmvwavrdx_wd640.jpg/rob-lowe-krijgt-ster-op-walk-of-fame";media.nu.nl;"/m/xsyxmvwavrdx_wd640.jpg/rob-lowe-krijgt-ster-op-walk-of-fame";;697;772;0
deeplinks;1449670007666;http;www.nu.nl;"/";45;"image/jpeg";"http://media.nu.nl/m/7w9xhm1abxnz_wd640.jpg/john-lennon-herdacht-in-strawberry-fields";media.nu.nl;"/m/7w9xhm1abxnz_wd640.jpg/john-lennon-herdacht-in-strawberry-fields";;697;775;0
deeplinks;1449670007666;http;www.nu.nl;"/";46;"image/jpeg";"http://media.nu.nl/m/yhax75fam40i_wd640.jpg";media.nu.nl;"/m/yhax75fam40i_wd640.jpg";;698;773;0
deeplinks;1449670007666;http;www.nu.nl;"/";47;"image/gif";"http://www.nu.nl/static/vendor/royalslider/img/preloader-white.gif?b79d10cfc46b";www.nu.nl;"/static/vendor/royalslider/img/preloader-white.gif";;698;763;0
