Configuration;Timestamp;LocationProtocol;LocationHostname;LocationPathname;ResourceID;ResourceContentType;ResourceURL;ResourceHost;ResourcePath;ResourceParty;ResourceRequested;ResourceCompleted;ResourceFailed
urlflow;1449669897296;http;www.nu.nl;"/";4;"text/html";"http://www.nu.nl/";www.nu.nl;"/";;1;117;0
urlflow;1449669897296;http;www.nu.nl;"/";5;"text/css";"http://www.nu.nl/static/CACHE/css/8b1c3e190229.css";www.nu.nl;"/static/CACHE/css/8b1c3e190229.css";;110;131;0
urlflow;1449669897296;http;www.nu.nl;"/";6;"application/javascript";"http://www.nu.nl/static/js/advertising.js";www.nu.nl;"/static/js/advertising.js";;111;125;0
urlflow;1449669897296;http;www.nu.nl;"/";7;"application/javascript";"http://www.nu.nl/static/CACHE/js/6d1ed54ce192.js";www.nu.nl;"/static/CACHE/js/6d1ed54ce192.js";;111;169;0
urlflow;1449669897296;http;www.nu.nl;"/";8;"text/javascript";"http://cts.snmmd.nl/service/js/nunl/home/";cts.snmmd.nl;"/service/js/nunl/home/";;111;204;0
urlflow;1449669897296;http;www.nu.nl;"/";9;"application/javascript";"http://www.nu.nl/static/js/organisms/ntv.advertorial.js";www.nu.nl;"/static/js/organisms/ntv.advertorial.js";;112;126;0
urlflow;1449669897296;http;www.nu.nl;"/";10;"application/javascript";"http://www.nu.nl/static/CACHE/js/7429d9503e00.js";www.nu.nl;"/static/CACHE/js/7429d9503e00.js";;116;203;0
urlflow;1449669897296;http;www.nu.nl;"/";11;"application/javascript";"http://www.nu.nl/static/CACHE/js/cbbb7a1c983a.js";www.nu.nl;"/static/CACHE/js/cbbb7a1c983a.js";;116;203;0
urlflow;1449669897296;http;www.nu.nl;"/";12;"application/javascript";"http://www.nu.nl/static/CACHE/js/51424ebeacf5.js";www.nu.nl;"/static/CACHE/js/51424ebeacf5.js";;117;169;0
urlflow;1449669897296;http;www.nu.nl;"/";13;"text/javascript";"http://privacy.nu.nl/script/consent.js";privacy.nu.nl;"/script/consent.js";Consent manager;207;249;0
urlflow;1449669897296;http;www.nu.nl;"/";14;"text/html";"http://rc.bt.ilsemedia.nl/Get/ilsemedia/JS/GetRcmd.js?ord=1449669897546";rc.bt.ilsemedia.nl;"/Get/ilsemedia/JS/GetRcmd.js";;250;297;0
urlflow;1449669897296;http;www.nu.nl;"/";15;"application/javascript";"http://sat.sanoma.fi/js/sat.js";sat.sanoma.fi;"/js/sat.js";;298;407;0
urlflow;1449669897296;http;www.nu.nl;"/";16;"text/javascript";"http://www.google-analytics.com/analytics.js";www.google-analytics.com;"/analytics.js";;299;395;0
urlflow;1449669897296;http;www.nu.nl;"/";17;"image/svg+xml";"http://www.nu.nl/static/img/atoms/images/logos/logo-sprite.svg";www.nu.nl;"/static/img/atoms/images/logos/logo-sprite.svg";;301;395;0
urlflow;1449669897296;http;www.nu.nl;"/";18;"image/jpeg";"http://media.nu.nl/m/m1oxrcxawpoj_sqr64.jpg";media.nu.nl;"/m/m1oxrcxawpoj_sqr64.jpg";;350;443;0
urlflow;1449669897296;http;www.nu.nl;"/";19;"image/jpeg";"http://media.nu.nl/m/xf2xowba8yaz_sqr64.jpg";media.nu.nl;"/m/xf2xowba8yaz_sqr64.jpg";;351;443;0
urlflow;1449669897296;http;www.nu.nl;"/";20;"image/jpeg";"http://media.nu.nl/m/erkxpctae848_sqr64.jpg";media.nu.nl;"/m/erkxpctae848_sqr64.jpg";;351;441;0
urlflow;1449669897296;http;www.nu.nl;"/";21;"image/jpeg";"http://media.nu.nl/m/m1oxdacabagt_sqr64.jpg";media.nu.nl;"/m/m1oxdacabagt_sqr64.jpg";;351;443;0
urlflow;1449669897296;http;www.nu.nl;"/";22;"image/jpeg";"http://media.nu.nl/m/m1oxfnia25hh_wd320.jpg";media.nu.nl;"/m/m1oxfnia25hh_wd320.jpg";;351;445;0
urlflow;1449669897296;http;www.nu.nl;"/";23;"image/jpeg";"http://media.nu.nl/m/htpx6p7a0bof_std160.jpg";media.nu.nl;"/m/htpx6p7a0bof_std160.jpg";;352;444;0
urlflow;1449669897296;http;www.nu.nl;"/";24;"image/png";"http://www.nu.nl/static/img/placeholders/230x240-o.png";www.nu.nl;"/static/img/placeholders/230x240-o.png";;352;405;0
urlflow;1449669897296;http;www.nu.nl;"/";25;"image/png";"http://www.nu.nl/static/img/placeholders/sqr256-o.png";www.nu.nl;"/static/img/placeholders/sqr256-o.png";;352;403;0
urlflow;1449669897296;http;www.nu.nl;"/";26;"image/png";"http://www.nu.nl/static/img/placeholders/std320-o.png";www.nu.nl;"/static/img/placeholders/std320-o.png";;352;405;0
urlflow;1449669897296;http;www.nu.nl;"/";27;"image/png";"http://www.nu.nl/static/img/placeholders/wd640-o.png";www.nu.nl;"/static/img/placeholders/wd640-o.png";;353;403;0
urlflow;1449669897296;http;www.nu.nl;"/";28;"image/png";"http://www.nu.nl/static/img/atoms/images/logos/nubranded_32.png?5e3b9eb052ee";www.nu.nl;"/static/img/atoms/images/logos/nubranded_32.png";;394;440;0
urlflow;1449669897296;http;www.nu.nl;"/";29;"application/octet-stream";"http://www.nu.nl/static/vendor/fontawesome/fonts/fontawesome-webfont.ttf?v=4.3.0&706450d7bba6";www.nu.nl;"/static/vendor/fontawesome/fonts/fontawesome-webfont.ttf";;409;448;0
urlflow;1449669897296;http;www.nu.nl;"/";30;"image/svg+xml";"http://www.nu.nl/static/vendor/fontcustom/fonts/nunl_1077598ee2fd6b2c595b96bce226c2fc.svg?f1c0e2bda699#nunl";www.nu.nl;"/static/vendor/fontcustom/fonts/nunl_1077598ee2fd6b2c595b96bce226c2fc.svg";;410;446;0
urlflow;1449669897296;http;www.nu.nl;"/";31;"application/octet-stream";"http://www.nu.nl/static/vendor/fontcustom/fonts/nunl_1077598ee2fd6b2c595b96bce226c2fc.ttf?fa340be26897";www.nu.nl;"/static/vendor/fontcustom/fonts/nunl_1077598ee2fd6b2c595b96bce226c2fc.ttf";;410;447;0
