Configuration;Timestamp;LocationProtocol;LocationHostname;LocationPathname;ResourceID;ResourceContentType;ResourceURL;ResourceHost;ResourcePath;ResourceParty;ResourceRequested;ResourceCompleted;ResourceFailed
urlflow;1449669973298;http;www.nu.nl;"/";4;"text/html";"http://www.nu.nl/";www.nu.nl;"/";;1;64;0
urlflow;1449669973298;http;www.nu.nl;"/";5;"text/css";"http://www.nu.nl/static/CACHE/css/8b1c3e190229.css";www.nu.nl;"/static/CACHE/css/8b1c3e190229.css";;57;80;0
urlflow;1449669973298;http;www.nu.nl;"/";6;"application/javascript";"http://www.nu.nl/static/js/advertising.js";www.nu.nl;"/static/js/advertising.js";;58;73;0
urlflow;1449669973298;http;www.nu.nl;"/";7;"application/javascript";"http://www.nu.nl/static/CACHE/js/6d1ed54ce192.js";www.nu.nl;"/static/CACHE/js/6d1ed54ce192.js";;58;116;0
urlflow;1449669973298;http;www.nu.nl;"/";8;"text/javascript";"http://cts.snmmd.nl/service/js/nunl/home/";cts.snmmd.nl;"/service/js/nunl/home/";;58;149;0
urlflow;1449669973298;http;www.nu.nl;"/";9;"application/javascript";"http://www.nu.nl/static/js/organisms/ntv.advertorial.js";www.nu.nl;"/static/js/organisms/ntv.advertorial.js";;59;74;0
urlflow;1449669973298;http;www.nu.nl;"/";10;"application/javascript";"http://www.nu.nl/static/CACHE/js/7429d9503e00.js";www.nu.nl;"/static/CACHE/js/7429d9503e00.js";;63;148;0
urlflow;1449669973298;http;www.nu.nl;"/";11;"application/javascript";"http://www.nu.nl/static/CACHE/js/cbbb7a1c983a.js";www.nu.nl;"/static/CACHE/js/cbbb7a1c983a.js";;63;152;0
urlflow;1449669973298;http;www.nu.nl;"/";12;"application/javascript";"http://www.nu.nl/static/CACHE/js/51424ebeacf5.js";www.nu.nl;"/static/CACHE/js/51424ebeacf5.js";;64;116;0
urlflow;1449669973298;http;www.nu.nl;"/";13;"text/javascript";"http://privacy.nu.nl/script/consent.js";privacy.nu.nl;"/script/consent.js";Consent manager;151;188;0
urlflow;1449669973298;http;www.nu.nl;"/";14;"text/html";"http://rc.bt.ilsemedia.nl/Get/ilsemedia/JS/GetRcmd.js?ord=1449669973487";rc.bt.ilsemedia.nl;"/Get/ilsemedia/JS/GetRcmd.js";;189;213;0
urlflow;1449669973298;http;www.nu.nl;"/";15;"application/javascript";"http://sat.sanoma.fi/js/sat.js";sat.sanoma.fi;"/js/sat.js";;214;368;0
urlflow;1449669973298;http;www.nu.nl;"/";16;"text/javascript";"http://www.google-analytics.com/analytics.js";www.google-analytics.com;"/analytics.js";;215;354;0
urlflow;1449669973298;http;www.nu.nl;"/";17;"image/svg+xml";"http://www.nu.nl/static/img/atoms/images/logos/logo-sprite.svg";www.nu.nl;"/static/img/atoms/images/logos/logo-sprite.svg";;216;355;0
urlflow;1449669973298;http;www.nu.nl;"/";18;"image/jpeg";"http://media.nu.nl/m/m1oxrcxawpoj_sqr64.jpg";media.nu.nl;"/m/m1oxrcxawpoj_sqr64.jpg";;269;361;0
urlflow;1449669973298;http;www.nu.nl;"/";19;"image/jpeg";"http://media.nu.nl/m/xf2xowba8yaz_sqr64.jpg";media.nu.nl;"/m/xf2xowba8yaz_sqr64.jpg";;294;362;0
urlflow;1449669973298;http;www.nu.nl;"/";20;"image/jpeg";"http://media.nu.nl/m/erkxpctae848_sqr64.jpg";media.nu.nl;"/m/erkxpctae848_sqr64.jpg";;294;368;0
urlflow;1449669973298;http;www.nu.nl;"/";21;"image/jpeg";"http://media.nu.nl/m/m1oxdacabagt_sqr64.jpg";media.nu.nl;"/m/m1oxdacabagt_sqr64.jpg";;295;470;0
urlflow;1449669973298;http;www.nu.nl;"/";22;"image/jpeg";"http://media.nu.nl/m/m1oxfnia25hh_wd320.jpg";media.nu.nl;"/m/m1oxfnia25hh_wd320.jpg";;295;369;0
urlflow;1449669973298;http;www.nu.nl;"/";23;"image/jpeg";"http://media.nu.nl/m/htpx6p7a0bof_std160.jpg";media.nu.nl;"/m/htpx6p7a0bof_std160.jpg";;295;368;0
urlflow;1449669973298;http;www.nu.nl;"/";24;"image/png";"http://www.nu.nl/static/img/placeholders/230x240-o.png";www.nu.nl;"/static/img/placeholders/230x240-o.png";;296;363;0
urlflow;1449669973298;http;www.nu.nl;"/";25;"image/png";"http://www.nu.nl/static/img/placeholders/sqr256-o.png";www.nu.nl;"/static/img/placeholders/sqr256-o.png";;296;362;0
urlflow;1449669973298;http;www.nu.nl;"/";26;"image/png";"http://www.nu.nl/static/img/placeholders/std320-o.png";www.nu.nl;"/static/img/placeholders/std320-o.png";;296;363;0
urlflow;1449669973298;http;www.nu.nl;"/";27;"image/png";"http://www.nu.nl/static/img/placeholders/wd640-o.png";www.nu.nl;"/static/img/placeholders/wd640-o.png";;297;364;0
urlflow;1449669973298;http;www.nu.nl;"/";28;"image/png";"http://www.nu.nl/static/img/atoms/images/logos/nubranded_32.png?5e3b9eb052ee";www.nu.nl;"/static/img/atoms/images/logos/nubranded_32.png";;297;365;0
urlflow;1449669973298;http;www.nu.nl;"/";29;"image/png";"http://www.nu.nl/static/img/atoms/forms/shared/inputbg.png?1fbd14092970";www.nu.nl;"/static/img/atoms/forms/shared/inputbg.png";;297;366;0
urlflow;1449669973298;http;www.nu.nl;"/";30;"application/octet-stream";"http://www.nu.nl/static/vendor/fontawesome/fonts/fontawesome-webfont.ttf?v=4.3.0&706450d7bba6";www.nu.nl;"/static/vendor/fontawesome/fonts/fontawesome-webfont.ttf";;369;469;0
urlflow;1449669973298;http;www.nu.nl;"/";31;"image/svg+xml";"http://www.nu.nl/static/vendor/fontcustom/fonts/nunl_1077598ee2fd6b2c595b96bce226c2fc.svg?f1c0e2bda699#nunl";www.nu.nl;"/static/vendor/fontcustom/fonts/nunl_1077598ee2fd6b2c595b96bce226c2fc.svg";;369;393;0
urlflow;1449669973298;http;www.nu.nl;"/";32;"application/octet-stream";"http://www.nu.nl/static/vendor/fontcustom/fonts/nunl_1077598ee2fd6b2c595b96bce226c2fc.ttf?fa340be26897";www.nu.nl;"/static/vendor/fontcustom/fonts/nunl_1077598ee2fd6b2c595b96bce226c2fc.ttf";;370;395;0
urlflow;1449669973298;http;www.nu.nl;"/";33;"image/gif";"http://www.google-analytics.com/r/collect?v=1&_v=j40&a=1644484611&t=pageview&_s=1&dl=http%3A%2F%2Fwww.nu.nl%2F&ul=en-us&de=UTF-8&dt=NU%20-%20Het%20laatste%20nieuws%20het%20eerst%20op%20NU.nl&sd=32-bit&sr=1024x768&vp=640x1136&je=0&_u=QEAAAAQAI~&jid=6228915&cid=134522513.1449669974&tid=UA-10557259-1&_r=1&cd1=2-kolom-smal&cd2=&z=93012892";www.google-analytics.com;"/r/collect";;389;446;0
urlflow;1449669973298;http;www.nu.nl;"/";35;"application/json";"http://www.nu.nl/api/playlists/slug/recommended?order_by=random";www.nu.nl;"/api/playlists/slug/recommended";;555;699;0
urlflow;1449669973298;http;www.nu.nl;"/";36;"image/jpeg";"http://media.nu.nl/m/m1oxo4fabte8_std640.jpg/deal-teeven-met-cees-h-had-niet-gesloten-mogen-worden.jpg";media.nu.nl;"/m/m1oxo4fabte8_std640.jpg/deal-teeven-met-cees-h-had-niet-gesloten-mogen-worden.jpg";;617;705;0
urlflow;1449669973298;http;www.nu.nl;"/";37;"image/gif";"http://b.scorecardresearch.com/p2?c1=2&c2=6035634&c4=http://www.nu.nl/&ns__t=1449669973831&ns_c=UTF-8&c8=NU%20-%20Het%20laatste%20nieuws%20het%20eerst%20op%20NU.nl&c7=http%3A%2F%2Fwww.nu.nl%2F&c9=";b.scorecardresearch.com;"/p2";;698;727;0
urlflow;1449669973298;http;www.nu.nl;"/";38;"image/gif";"http://www.nu.nl/static/vendor/royalslider/img/preloader-white.gif?b79d10cfc46b";www.nu.nl;"/static/vendor/royalslider/img/preloader-white.gif";;701;720;0
urlflow;1449669973298;http;www.nu.nl;"/";39;"image/png";"http://www.nu.nl/static/vendor/royalslider/img/rs-default.png?0e40b16b1d60";www.nu.nl;"/static/vendor/royalslider/img/rs-default.png";;701;719;0
urlflow;1449669973298;http;www.nu.nl;"/";40;"image/jpeg";"http://media.nu.nl/m/lq4x97ta08th_std320.jpg";media.nu.nl;"/m/lq4x97ta08th_std320.jpg";;701;733;0
urlflow;1449669973298;http;www.nu.nl;"/";41;"image/jpeg";"http://media.nu.nl/m/kk6xd06ajaqg_std320.jpg";media.nu.nl;"/m/kk6xd06ajaqg_std320.jpg";;701;733;0
urlflow;1449669973298;http;www.nu.nl;"/";42;"image/jpeg";"http://media.nu.nl/m/ibxxnk9a7vos_std320.jpg";media.nu.nl;"/m/ibxxnk9a7vos_std320.jpg";;702;734;0
urlflow;1449669973298;http;www.nu.nl;"/";43;"image/jpeg";"http://media.nu.nl/m/b48xfzma3pm7_std320.jpg";media.nu.nl;"/m/b48xfzma3pm7_std320.jpg";;702;735;0
urlflow;1449669973298;http;www.nu.nl;"/";44;"image/jpeg";"http://media.nu.nl/m/4qkx9l1alkay_std320.jpg";media.nu.nl;"/m/4qkx9l1alkay_std320.jpg";;702;734;0
urlflow;1449669973298;http;www.nu.nl;"/";45;"image/jpeg";"http://media.nu.nl/m/2e7xr66ax6cd_std320.jpg";media.nu.nl;"/m/2e7xr66ax6cd_std320.jpg";;703;736;0
urlflow;1449669973298;http;www.nu.nl;"/";46;"image/jpeg";"http://media.nu.nl/m/m1oxhuva1i3e_std320.jpg";media.nu.nl;"/m/m1oxhuva1i3e_std320.jpg";;703;814;0
urlflow;1449669973298;http;www.nu.nl;"/";47;"image/jpeg";"http://media.nu.nl/m/4bfxlcxae9as_std320.jpg";media.nu.nl;"/m/4bfxlcxae9as_std320.jpg";;703;739;0
urlflow;1449669973298;http;www.nu.nl;"/";48;"image/jpeg";"http://media.nu.nl/m/qhgxy45ax2dj_std320.jpg";media.nu.nl;"/m/qhgxy45ax2dj_std320.jpg";;703;739;0
urlflow;1449669973298;http;www.nu.nl;"/";49;"image/jpeg";"http://media.nu.nl/m/1h6xtvdasejq_std320.jpg";media.nu.nl;"/m/1h6xtvdasejq_std320.jpg";;704;737;0
urlflow;1449669973298;http;www.nu.nl;"/";50;"image/jpeg";"http://media.nu.nl/m/yhax75fam40i_wd640.jpg";media.nu.nl;"/m/yhax75fam40i_wd640.jpg";;704;739;0
urlflow;1449669973298;http;www.nu.nl;"/";51;"application/javascript";"http://js-agent.newrelic.com/nr-768.min.js";js-agent.newrelic.com;"/nr-768.min.js";;815;873;0
urlflow;1449669973298;http;www.nu.nl;"/";54;"text/javascript";"http://bam.nr-data.net/1/4702f272e2?a=3982566&pl=1449669973299&v=768.2acc9fa&to=YgdVbUYHW0tWURFYXVtNcUxaBUFRWFxKUkdHEFJXQDlGUUNXS0dbUBVEF1cJR10NegpcV2UDUFxiD1BP&ap=544&be=50&fe=763&dc=520&f=%5B%22err%22,%22xhr%22,%22ins%22%5D&perf=%7B%22timing%22:%7B%22of%22:1449669973299,%22n%22:0,%22dl%22:43,%22di%22:570,%22ds%22:570,%22de%22:679,%22dc%22:813,%22l%22:813,%22le%22:815,%22f%22:0,%22dn%22:0,%22dne%22:0,%22c%22:0,%22ce%22:0,%22rq%22:0,%22rp%22:0,%22rpe%22:62%7D,%22navigation%22:%7B%7D%7D&jsonp=NREUM.setToken";bam.nr-data.net;"/1/4702f272e2";;878;1151;0
urlflow;1449669973298;http;www.nu.nl;"/";55;"image/gif";"http://privacy.www.nu.nl/pixel/HyTlwsylKyTtLu38wPmiD62QAZq1T1sTkcbp0UxrhZTkIbaieOoRZyRzvGGVaB1niDCZ0s3mEVOr1g4PplglNQ%253D%253D";privacy.www.nu.nl;"/pixel/HyTlwsylKyTtLu38wPmiD62QAZq1T1sTkcbp0UxrhZTkIbaieOoRZyRzvGGVaB1niDCZ0s3mEVOr1g4PplglNQ%253D%253D";;908;918;0
urlflow;1449669973298;http;www.nu.nl;"/";56;"text/javascript";"http://privacy.www.nu.nl/script/cookiebar.js";privacy.www.nu.nl;"/script/cookiebar.js";;920;933;0
urlflow;1449669973298;http;www.nu.nl;"/";57;"image/png";"http://bin.snmmd.nl/m/m1nx5sqrhbgz.png";bin.snmmd.nl;"/m/m1nx5sqrhbgz.png";;935;995;0
urlflow;1449669973298;http;www.nu.nl;"/";59;"image/gif";"http://logc210.xiti.com/hit.xiti?s=518538&s2=1&p=nu.nl_grotebalk%3A%3Aingeklapt&di=&ac=&an=&trn=1449669974258&Rdt=On";logc210.xiti.com;"/hit.xiti";;1005;1036;0
urlflow;1449669973298;http;www.nu.nl;"/";60;"image/gif";"http://sat.sanoma.fi/sat/sat.gif?log=1&evt=con&cid=&c_ver=2015.09.29.12.34.31%209311d11&c_events=0&c_session=e548nv5x5c&c_id=arjov2v83y&c_scroll=0x0&eid=&sit=nunl&cha=web&cat=home&c_vmspot=undefined_79448775&c_screen=1024x768&c_viewport=640x1136&c_referrer=&c_currenturl=http%3A%2F%2Fwww.nu.nl%2F&c_hash=&rid=1449669973689&cb=1449669974690&ctz=0";sat.sanoma.fi;"/sat/sat.gif";;1393;1436;0
